Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country/Region;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2020-102414;2020-05-15;2020-05-18;Second Class;JA-15970;Joseph Airdo;Consumer;United States;Phoenix;Arizona;85023;West;TEC-PH-10002923;29.592;1;0.2;2.5893;Anna Andreadi
CA-2020-102414;2020-05-15;2020-05-18;Second Class;JA-15970;Joseph Airdo;Consumer;United States;Phoenix;Arizona;85023;West;OFF-BI-10004465;4.752;2;0.7;-3.168;Anna Andreadi
CA-2020-102414;2020-05-15;2020-05-18;Second Class;JA-15970;Joseph Airdo;Consumer;United States;Phoenix;Arizona;85023;West;OFF-PA-10002333;15.552;3;0.2;5.6376;Anna Andreadi
CA-2020-111577;2020-10-16;2020-10-21;Standard Class;AJ-10780;Anthony Jacobs;Corporate;United States;Scottsd&ale;Arizona;85254;West;OFF-PA-10000062;307.776;7;0.2;111.5688;Anna Andreadi
CA-2020-116953;2020-04-24;2020-04-25;First Class;SV-20935;Susan Vittorini;Consumer;United States;Mes&a;Arizona;85204;West;TEC-PH-10004614;552;10;0.2;34.5;Anna Andreadi
CA-2020-128734;2020-12-24;2020-12-31;Standard Class;JL-15175;James Lanier;Home Office;United States;Ch&andler;Arizona;85224;West;FUR-FU-10001731;8.544;4;0.2;1.9224;Anna Andreadi
CA-2020-128734;2020-12-24;2020-12-31;Standard Class;JL-15175;James Lanier;Home Office;United States;Ch&andler;Arizona;85224;West;FUR-CH-10001394;842.376;3;0.2;105.297;Anna Andreadi
CA-2020-129707;2020-04-25;2020-04-29;Standard Class;LH-16750;Larry Hughes;Consumer;United States;Ch&andler;Arizona;85224;West;OFF-AR-10000246;8.896;4;0.2;0.6672;Anna Andreadi
CA-2020-134880;2020-10-27;2020-11-01;Standard Class;TW-21025;Tamara Willingham;Home Office;United States;Mes&a;Arizona;85204;West;OFF-PA-10004039;44.784;1;0.2;16.2342;Anna Andreadi
CA-2020-134915;2020-11-12;2020-11-12;Same Day;EM-14140;Eugene Moren;Home Office;United States;Glend&ale;Arizona;85301;West;TEC-AC-10001266;41.6;4;0.2;13;Anna Andreadi
CA-2020-134915;2020-11-12;2020-11-12;Same Day;EM-14140;Eugene Moren;Home Office;United States;Glend&ale;Arizona;85301;West;OFF-PA-10002160;23.12;5;0.2;8.381;Anna Andreadi
CA-2020-134915;2020-11-12;2020-11-12;Same Day;EM-14140;Eugene Moren;Home Office;United States;Glend&ale;Arizona;85301;West;FUR-CH-10004875;113.888;2;0.2;9.9652;Anna Andreadi
CA-2020-134915;2020-11-12;2020-11-12;Same Day;EM-14140;Eugene Moren;Home Office;United States;Glend&ale;Arizona;85301;West;FUR-FU-10000305;113.568;2;0.2;-5.6784;Anna Andreadi
CA-2020-134915;2020-11-12;2020-11-12;Same Day;EM-14140;Eugene Moren;Home Office;United States;Glend&ale;Arizona;85301;West;TEC-PH-10000347;7.92;2;0.2;0.693;Anna Andreadi
CA-2020-134915;2020-11-12;2020-11-12;Same Day;EM-14140;Eugene Moren;Home Office;United States;Glend&ale;Arizona;85301;West;TEC-PH-10001459;671.984;2;0.2;50.3988;Anna Andreadi
CA-2020-135937;2020-02-20;2020-02-27;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Gil?bert;Arizona;85234;West;TEC-PH-10004447;333.576;3;0.2;25.0182;Anna Andreadi
CA-2020-135937;2020-02-20;2020-02-27;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Gil?bert;Arizona;85234;West;TEC-AC-10001114;31.992;1;0.2;4.7988;Anna Andreadi
CA-2020-135937;2020-02-20;2020-02-27;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Gil?bert;Arizona;85234;West;OFF-ST-10000563;51.168;2;0.2;-6.396;Anna Andreadi
CA-2020-135937;2020-02-20;2020-02-27;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Gil?bert;Arizona;85234;West;OFF-EN-10004846;10.64;5;0.2;3.857;Anna Andreadi
CA-2020-135937;2020-02-20;2020-02-27;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Gil?bert;Arizona;85234;West;FUR-FU-10002253;68.704;2;0.2;16.3172;Anna Andreadi
CA-2020-135937;2020-02-20;2020-02-27;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Gil?bert;Arizona;85234;West;FUR-TA-10001039;386.91;9;0.5;-185.7168;Anna Andreadi
CA-2020-137421;2020-10-06;2020-10-11;Standard Class;AJ-10945;Ashley Jarboe;Consumer;United States;Ch&andler;Arizona;85224;West;OFF-AR-10001761;9.344;2;0.2;1.8688;Anna Andreadi
CA-2020-139402;2020-12-09;2020-12-13;Standard Class;NC-18535;Nick Crebassa;Corporate;United States;Phoenix;Arizona;85023;West;OFF-PA-10004359;419.4;5;0.2;146.79;Anna Andreadi
CA-2020-139402;2020-12-09;2020-12-13;Standard Class;NC-18535;Nick Crebassa;Corporate;United States;Phoenix;Arizona;85023;West;OFF-BI-10000279;13.005;3;0.7;-9.9705;Anna Andreadi
CA-2020-140760;2020-06-02;2020-06-05;Second Class;DO-13435;Denny Ordway;Consumer;United States;Mes&a;Arizona;85204;West;OFF-PA-10002479;25.344;6;0.2;7.92;Anna Andreadi
