Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country/Region;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2020-101308;2020-10-02;2020-10-07;Standard Class;FG-14260;Frank Gastineau;Home Office;United States;Se&attle;Washington;98105;West;OFF-FA-10002780;8.94;3;0;4.1124;Anna Andreadi
CA-2020-101308;2020-10-02;2020-10-07;Standard Class;FG-14260;Frank Gastineau;Home Office;United States;Se&attle;Washington;98105;West;TEC-PH-10003800;84.784;2;0.2;-20.1362;Anna Andreadi
CA-2020-101805;2020-12-01;2020-12-06;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;Se&attle;Washington;98105;West;OFF-BI-10002003;15.92;5;0.2;5.373;Anna Andreadi
CA-2020-101805;2020-12-01;2020-12-06;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;Se&attle;Washington;98105;West;FUR-FU-10000023;70.68;12;0;31.0992;Anna Andreadi
CA-2020-101805;2020-12-01;2020-12-06;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;Se&attle;Washington;98105;West;OFF-ST-10002756;541.24;4;0;5.4124;Anna Andreadi
CA-2020-104801;2020-02-13;2020-02-19;Standard Class;FH-14350;Fred Harton;Consumer;United States;Se&attle;Washington;98105;West;OFF-AR-10001547;6.63;3;0;1.7901;Anna Andreadi
CA-2020-104801;2020-02-13;2020-02-19;Standard Class;FH-14350;Fred Harton;Consumer;United States;Se&attle;Washington;98105;West;TEC-AC-10001838;799.96;4;0;343.9828;Anna Andreadi
CA-2020-104801;2020-02-13;2020-02-19;Standard Class;FH-14350;Fred Harton;Consumer;United States;Se&attle;Washington;98105;West;FUR-FU-10004017;107.53;1;0;21.506;Anna Andreadi
CA-2020-104850;2020-06-13;2020-06-19;Standard Class;TW-21025;Tamara Willingham;Home Office;United States;Se&attle;Washington;98103;West;FUR-CH-10003774;291.136;4;0.2;-25.4744;Anna Andreadi
CA-2020-107174;2020-11-06;2020-11-13;Standard Class;AB-10060;Adam Bellavance;Home Office;United States;Se&attle;Washington;98105;West;FUR-TA-10004575;2036.86;7;0;366.6348;Anna Andreadi
CA-2020-107174;2020-11-06;2020-11-13;Standard Class;AB-10060;Adam Bellavance;Home Office;United States;Se&attle;Washington;98105;West;FUR-CH-10003312;449.568;2;0.2;-73.0548;Anna Andreadi
