Order_ID	Order_Date	Ship_Date	Ship_Mode	Customer_ID	Customer_Name	Segment	Country/Region	City	State	Postal_Code	Region	Product_ID	Sales	Quantity	Discount	Profit	Person
CA-2020-100055	2020-05-28	2020-06-01	Standard Class	MD-17860	Michael Dominguez	Corporate	United States	Laurel	Maryland	20707	East	FUR-FU-10001473	27.46	2	0	9.8856	Chuck Magee
CA-2020-100055	2020-05-28	2020-06-01	Standard Class	MD-17860	Michael Dominguez	Corporate	United States	Laurel	Maryland	20707	East	OFF-AP-10001469	125.13	3	0	36.2877	Chuck Magee
CA-2020-100097	2020-11-26	2020-11-29	Second Class	MN-17935	Michael Nguyen	Consumer	United States	New York City	New York	10009	East	TEC-PH-10002310	979.95	5	0	264.5865	Chuck Magee
CA-2020-100097	2020-11-26	2020-11-29	Second Class	MN-17935	Michael Nguyen	Consumer	United States	New York City	New York	10009	East	FUR-FU-10003623	135.3	5	0	37.884	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	FUR-CH-10003846	272.646	3	0.1	18.1764	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	TEC-AC-10002647	212.8	2	0	95.76	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	OFF-PA-10000807	38.52	9	0	18.1044	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	TEC-AC-10001465	72.64	2	0	21.792	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	OFF-ST-10000615	45.4	4	0	12.712	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	OFF-PA-10002713	13.76	2	0	6.3296	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	FUR-CH-10003061	80.991	1	0.1	8.0991	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	OFF-BI-10000343	11.784	3	0.2	3.9771	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	OFF-FA-10000304	4.36	2	0	1.7876	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	FUR-CH-10004086	2888.127	11	0.1	609.7157	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	TEC-PH-10002885	1299.66	2	0	350.9082	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	FUR-CH-10001215	2254.41	5	0.1	375.735	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	TEC-PH-10000215	104.85	3	0	28.3095	Chuck Magee
CA-2020-100111	2020-09-20	2020-09-26	Standard Class	SV-20365	Seth Vernon	Consumer	United States	New York City	New York	10035	East	TEC-AC-10001998	59.97	3	0	20.3898	Chuck Magee
CA-2020-100160	2020-09-07	2020-09-11	Standard Class	CB-12025	Cassandra Brandow	Consumer	United States	Philadelphia	Pennsylvania	19134	East	OFF-LA-10002475	29.24	5	0.2	9.8685	Chuck Magee
CA-2020-100160	2020-09-07	2020-09-11	Standard Class	CB-12025	Cassandra Brandow	Consumer	United States	Philadelphia	Pennsylvania	19134	East	OFF-PA-10003072	15.552	3	0.2	5.4432	Chuck Magee
CA-2020-100160	2020-09-07	2020-09-11	Standard Class	CB-12025	Cassandra Brandow	Consumer	United States	Philadelphia	Pennsylvania	19134	East	OFF-EN-10001509	4.896	3	0.2	1.6524	Chuck Magee
CA-2020-100230	2020-12-11	2020-12-15	Standard Class	AA-10375	Allen Armold	Consumer	United States	New York City	New York	10035	East	OFF-BI-10002498	14.952	1	0.2	5.0463	Chuck Magee
