Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country/Region;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2020-100013;2020-11-06;2020-11-11;Standard Class;ZC-21910;Zuschuss Carroll;Consumer;United States;Los Angeles;California;90045;West;OFF-EN-10001219;15.28;2;0;7.4872;Anna Andreadi
CA-2020-100013;2020-11-06;2020-11-11;Standard Class;ZC-21910;Zuschuss Carroll;Consumer;United States;Los Angeles;California;90045;West;FUR-FU-10001424;8.73;1;0;2.9682;Anna Andreadi
CA-2020-100013;2020-11-06;2020-11-11;Standard Class;ZC-21910;Zuschuss Carroll;Consumer;United States;Los Angeles;California;90045;West;OFF-AR-10001022;5.68;2;0;1.7608;Anna Andreadi
CA-2020-100384;2020-06-24;2020-07-01;Standard Class;NH-18610;Nicole Hansen;Corporate;United States;Pomona;California;91767;West;OFF-AR-10002135;385.6;8;0;111.824;Anna Andreadi
CA-2020-100384;2020-06-24;2020-07-01;Standard Class;NH-18610;Nicole Hansen;Corporate;United States;Pomona;California;91767;West;OFF-AR-10003514;35.82;9;0;11.8206;Anna Andreadi
CA-2020-100580;2020-08-13;2020-08-20;Standard Class;MK-17905;Michael Kennedy;Corporate;United States;San Diego;California;92037;West;OFF-BI-10000069;36.024;3;0.2;11.7078;Anna Andreadi
CA-2020-100601;2020-11-16;2020-11-20;Standard Class;JK-15370;Jay Kimmel;Consumer;United States;Fresno;California;93727;West;OFF-ST-10002486;48.86;7;0;0.9772;Anna Andreadi
CA-2020-100650;2020-06-29;2020-07-03;Second Class;DK-13225;Dean Katz;Corporate;United States;Anaheim;California;92804;West;OFF-ST-10001780;1295.78;2;0;310.9872;Anna Andreadi
CA-2020-100748;2020-05-13;2020-05-20;Standard Class;RB-19795;Ross Baird;Home Office;United States;San Francisco;California;94110;West;OFF-LA-10000240;58.48;8;0;27.4856;Anna Andreadi
CA-2020-100825;2020-09-09;2020-09-14;Standard Class;KD-16495;Keith Dawkins;Corporate;United States;Los Angeles;California;90036;West;OFF-ST-10003123;99.87;3;0;23.9688;Anna Andreadi
CA-2020-101014;2020-08-29;2020-09-04;Standard Class;RW-19540;Rick Wilson;Corporate;United States;Los Angeles;California;90049;West;FUR-FU-10003374;148.02;3;0;41.4456;Anna Andreadi
CA-2020-101182;2020-09-04;2020-09-05;First Class;KB-16405;Katrina Bavinger;Home Office;United States;Apple Valley;California;92307;West;OFF-PA-10001800;12.96;2;0;6.2208;Anna Andreadi
CA-2020-101182;2020-09-04;2020-09-05;First Class;KB-16405;Katrina Bavinger;Home Office;United States;Apple Valley;California;92307;West;TEC-PH-10003589;43.176;3;0.2;15.1116;Anna Andreadi
CA-2020-101245;2020-11-27;2020-12-03;Standard Class;LW-16990;Lindsay Williams;Corporate;United States;San Francisco;California;94109;West;OFF-PA-10003129;244.55;5;0;114.9385;Anna Andreadi
CA-2020-101245;2020-11-27;2020-12-03;Standard Class;LW-16990;Lindsay Williams;Corporate;United States;San Francisco;California;94109;West;TEC-AC-10001284;166.16;8;0;59.8176;Anna Andreadi
CA-2020-101322;2020-12-28;2020-12-31;First Class;JG-15310;Jason Gross;Corporate;United States;Long Beach;California;90805;West;FUR-CH-10003968;340.704;6;0.2;-34.0704;Anna Andreadi
CA-2020-101574;2020-09-28;2020-10-04;Standard Class;BD-11725;Bruce Degenhardt;Consumer;United States;Los Angeles;California;90032;West;FUR-FU-10001706;9.24;3;0;4.4352;Anna Andreadi
CA-2020-101665;2020-11-25;2020-12-01;Standard Class;TZ-21580;Tracy Zic;Consumer;United States;San Francisco;California;94122;West;OFF-AR-10002335;5.16;2;0;1.3416;Anna Andreadi
CA-2020-101749;2020-10-03;2020-10-08;Standard Class;AS-10045;Aaron Smayling;Corporate;United States;Pasadena;California;91104;West;FUR-TA-10001520;171.288;3;0.2;-6.4233;Anna Andreadi
CA-2020-102099;2020-12-18;2020-12-19;First Class;EP-13915;Emily Phan;Consumer;United States;Los Angeles;California;90008;West;OFF-AR-10003811;6.63;3;0;1.7901;Anna Andreadi
CA-2020-102099;2020-12-18;2020-12-19;First Class;EP-13915;Emily Phan;Consumer;United States;Los Angeles;California;90008;West;OFF-PA-10003172;12.96;2;0;6.2208;Anna Andreadi
CA-2020-102099;2020-12-18;2020-12-19;First Class;EP-13915;Emily Phan;Consumer;United States;Los Angeles;California;90008;West;OFF-PA-10000289;32.4;5;0;15.552;Anna Andreadi
CA-2020-102379;2020-12-02;2020-12-06;Standard Class;BB-11545;Brenda Bowman;Corporate;United States;Oakland;California;94601;West;TEC-PH-10001448;39.992;1;0.2;-7.9984;Anna Andreadi
CA-2020-102379;2020-12-02;2020-12-06;Standard Class;BB-11545;Brenda Bowman;Corporate;United States;Oakland;California;94601;West;FUR-CH-10004983;1159.056;9;0.2;43.4646;Anna Andreadi
CA-2020-102379;2020-12-02;2020-12-06;Standard Class;BB-11545;Brenda Bowman;Corporate;United States;Oakland;California;94601;West;OFF-AR-10004022;179.9;5;0;44.975;Anna Andreadi
CA-2020-102407;2020-12-09;2020-12-13;Second Class;AT-10435;Alyssa Tate;Home Office;United States;Los Angeles;California;90004;West;OFF-AR-10000122;11.16;2;0;2.79;Anna Andreadi
CA-2020-102407;2020-12-09;2020-12-13;Second Class;AT-10435;Alyssa Tate;Home Office;United States;Los Angeles;California;90004;West;FUR-TA-10003748;896.328;9;0.2;22.4082;Anna Andreadi
CA-2020-102407;2020-12-09;2020-12-13;Second Class;AT-10435;Alyssa Tate;Home Office;United States;Los Angeles;California;90004;West;OFF-AP-10001394;189;1;0;68.04;Anna Andreadi
CA-2020-102750;2020-09-04;2020-09-08;Second Class;GM-14695;Greg Maxwell;Corporate;United States;Los Angeles;California;90036;West;FUR-TA-10000198;1322.352;3;0.2;-99.1764;Anna Andreadi
CA-2020-102820;2020-05-07;2020-05-11;Standard Class;CS-11950;Carlos Soltero;Consumer;United States;Pasadena;California;91104;West;TEC-PH-10003437;419.944;7;0.2;52.493;Anna Andreadi
CA-2020-102834;2020-03-09;2020-03-13;Standard Class;LW-16990;Lindsay Williams;Corporate;United States;San Francisco;California;94110;West;TEC-AC-10001908;199.98;2;0;69.993;Anna Andreadi
CA-2020-102974;2020-09-19;2020-09-24;Standard Class;DP-13105;Dave Poirier;Corporate;United States;Los Angeles;California;90032;West;TEC-AC-10000057;149.95;5;0;31.4895;Anna Andreadi
CA-2020-102974;2020-09-19;2020-09-24;Standard Class;DP-13105;Dave Poirier;Corporate;United States;Los Angeles;California;90032;West;OFF-AR-10000914;23.32;2;0;6.0632;Anna Andreadi
CA-2020-102974;2020-09-19;2020-09-24;Standard Class;DP-13105;Dave Poirier;Corporate;United States;Los Angeles;California;90032;West;OFF-AR-10004956;16.74;3;0;4.8546;Anna Andreadi
CA-2020-103380;2020-11-21;2020-11-25;Standard Class;BF-11005;Barry Franz;Home Office;United States;Pasadena;California;91104;West;OFF-ST-10003442;56.56;2;0;15.2712;Anna Andreadi
CA-2020-103380;2020-11-21;2020-11-25;Standard Class;BF-11005;Barry Franz;Home Office;United States;Pasadena;California;91104;West;OFF-AR-10003856;5.56;2;0;1.4456;Anna Andreadi
CA-2020-103380;2020-11-21;2020-11-25;Standard Class;BF-11005;Barry Franz;Home Office;United States;Pasadena;California;91104;West;OFF-FA-10004248;9.02;2;0;3.5178;Anna Andreadi
CA-2020-103380;2020-11-21;2020-11-25;Standard Class;BF-11005;Barry Franz;Home Office;United States;Pasadena;California;91104;West;OFF-AP-10001492;8.62;1;0;2.2412;Anna Andreadi
CA-2020-103380;2020-11-21;2020-11-25;Standard Class;BF-11005;Barry Franz;Home Office;United States;Pasadena;California;91104;West;TEC-PH-10004165;659.976;3;0.2;49.4982;Anna Andreadi
CA-2020-103611;2020-09-12;2020-09-15;First Class;JM-15535;Jessica Myrick;Consumer;United States;Los Angeles;California;90036;West;FUR-FU-10004270;8.36;2;0;3.0096;Anna Andreadi
CA-2020-103968;2020-12-01;2020-12-07;Standard Class;ML-17755;Max Ludwig;Home Office;United States;Stockton;California;95207;West;FUR-FU-10003394;629.64;9;0;107.0388;Anna Andreadi
CA-2020-104003;2020-10-07;2020-10-13;Standard Class;DC-13285;Debra Catini;Consumer;United States;San Francisco;California;94110;West;FUR-BO-10003965;307.666;2;0.15;-14.4784;Anna Andreadi
CA-2020-104080;2020-03-08;2020-03-15;Standard Class;AH-10210;Alan Hwang;Consumer;United States;Anaheim;California;92804;West;OFF-BI-10003876;171.2;5;0.2;64.2;Anna Andreadi
CA-2020-104080;2020-03-08;2020-03-15;Standard Class;AH-10210;Alan Hwang;Consumer;United States;Anaheim;California;92804;West;OFF-AR-10001972;3.36;2;0;0.8736;Anna Andreadi
CA-2020-104619;2020-01-24;2020-01-29;Standard Class;KD-16495;Keith Dawkins;Corporate;United States;San Jose;California;95123;West;OFF-AP-10001492;25.86;3;0;6.7236;Anna Andreadi
CA-2020-104619;2020-01-24;2020-01-29;Standard Class;KD-16495;Keith Dawkins;Corporate;United States;San Jose;California;95123;West;OFF-BI-10004318;276.784;2;0.2;89.9548;Anna Andreadi
CA-2020-104619;2020-01-24;2020-01-29;Standard Class;KD-16495;Keith Dawkins;Corporate;United States;San Jose;California;95123;West;TEC-PH-10000193;110.352;3;0.2;8.2764;Anna Andreadi
CA-2020-104647;2020-02-23;2020-03-01;Standard Class;CK-12595;Clytie Kelty;Consumer;United States;Los Angeles;California;90008;West;OFF-PA-10002870;37.44;6;0;16.848;Anna Andreadi
CA-2020-105130;2020-11-21;2020-11-25;Standard Class;PJ-18835;Patrick Jones;Corporate;United States;San Francisco;California;94122;West;OFF-AR-10003394;11.76;4;0;3.1752;Anna Andreadi
CA-2020-105130;2020-11-21;2020-11-25;Standard Class;PJ-18835;Patrick Jones;Corporate;United States;San Francisco;California;94122;West;OFF-BI-10001191;40.736;2;0.2;14.7668;Anna Andreadi
CA-2020-105214;2020-06-16;2020-06-19;First Class;TS-21610;Troy Staebel;Consumer;United States;San Francisco;California;94122;West;FUR-CH-10000015;1212.96;7;0.2;90.972;Anna Andreadi
CA-2020-105214;2020-06-16;2020-06-19;First Class;TS-21610;Troy Staebel;Consumer;United States;San Francisco;California;94122;West;OFF-PA-10001776;18.54;2;0;8.7138;Anna Andreadi
CA-2020-105326;2020-08-20;2020-08-27;Standard Class;KT-16480;Kean Thornton;Consumer;United States;Los Angeles;California;90036;West;OFF-PA-10001639;25.92;4;0;12.4416;Anna Andreadi
CA-2020-105410;2020-03-19;2020-03-22;First Class;ND-18370;Natalie DeCherney;Consumer;United States;San Francisco;California;94110;West;OFF-BI-10004970;19.824;6;0.2;6.6906;Anna Andreadi
CA-2020-105410;2020-03-19;2020-03-22;First Class;ND-18370;Natalie DeCherney;Consumer;United States;San Francisco;California;94110;West;TEC-PH-10000038;657.504;6;0.2;-131.5008;Anna Andreadi
CA-2020-105410;2020-03-19;2020-03-22;First Class;ND-18370;Natalie DeCherney;Consumer;United States;San Francisco;California;94110;West;TEC-AC-10001552;99.54;2;0;10.9494;Anna Andreadi
CA-2020-105410;2020-03-19;2020-03-22;First Class;ND-18370;Natalie DeCherney;Consumer;United States;San Francisco;California;94110;West;TEC-AC-10002926;199.96;4;0;85.9828;Anna Andreadi
CA-2020-105487;2020-10-08;2020-10-14;Standard Class;CS-12250;Chris Selesnick;Corporate;United States;San Diego;California;92105;West;TEC-PH-10001336;103.192;1;0.2;11.6091;Anna Andreadi
CA-2020-105487;2020-10-08;2020-10-14;Standard Class;CS-12250;Chris Selesnick;Corporate;United States;San Diego;California;92105;West;TEC-AC-10002305;36;2;0;6.48;Anna Andreadi
CA-2020-105487;2020-10-08;2020-10-14;Standard Class;CS-12250;Chris Selesnick;Corporate;United States;San Diego;California;92105;West;TEC-AC-10003610;239.96;4;0;115.1808;Anna Andreadi
CA-2020-105487;2020-10-08;2020-10-14;Standard Class;CS-12250;Chris Selesnick;Corporate;United States;San Diego;California;92105;West;OFF-ST-10002301;40.68;2;0;0.4068;Anna Andreadi
CA-2020-105809;2020-02-20;2020-02-23;First Class;HW-14935;Helen Wasserman;Corporate;United States;San Diego;California;92105;West;FUR-FU-10004090;22.23;1;0;7.3359;Anna Andreadi
CA-2020-105809;2020-02-20;2020-02-23;First Class;HW-14935;Helen Wasserman;Corporate;United States;San Diego;California;92105;West;TEC-PH-10001580;215.968;2;0.2;18.8972;Anna Andreadi
CA-2020-105914;2020-10-02;2020-10-08;Standard Class;PV-18985;Paul Van Hugh;Home Office;United States;Los Angeles;California;90036;West;OFF-BI-10002854;112.12;5;0.2;42.045;Anna Andreadi
CA-2020-105914;2020-10-02;2020-10-08;Standard Class;PV-18985;Paul Van Hugh;Home Office;United States;Los Angeles;California;90036;West;OFF-ST-10003716;1575.14;7;0;204.7682;Anna Andreadi
CA-2020-105921;2020-08-14;2020-08-21;Standard Class;JM-15250;Janet Martin;Consumer;United States;Los Angeles;California;90032;West;FUR-TA-10001095;418.296;3;0.2;5.2287;Anna Andreadi
CA-2020-106033;2020-10-15;2020-10-18;Second Class;FG-14260;Frank Gastineau;Home Office;United States;San Francisco;California;94110;West;OFF-AR-10002818;87.92;4;0;26.376;Anna Andreadi
CA-2020-106180;2020-09-18;2020-09-23;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;San Francisco;California;94122;West;OFF-AR-10000940;8.82;3;0;2.3814;Anna Andreadi
